1652378172.502736 client started (11983): version 3.2a, socket /private/tmp/tmux-503/default, protocol 8
1652378172.502816 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1652378172.502838 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652378172.502873 flags are 0x10010000
1652378172.502884 socket is /private/tmp/tmux-503/default
1652378172.502899 trying connect
1652378172.502994 add peer 0x7fed80008000: 6 (0x0)
1652378172.504628 sending message 100 to peer 0x7fed80008000 (4 bytes)
1652378172.504652 sending message 111 to peer 0x7fed80008000 (8 bytes)
1652378172.504665 sending message 101 to peer 0x7fed80008000 (16 bytes)
1652378172.504675 sending message 109 to peer 0x7fed80008000 (4 bytes)
1652378172.504685 sending message 102 to peer 0x7fed80008000 (13 bytes)
1652378172.504694 sending message 108 to peer 0x7fed80008000 (42 bytes)
1652378172.504703 sending message 112 to peer 0x7fed80008000 (70 bytes)
1652378172.504713 sending message 112 to peer 0x7fed80008000 (5 bytes)
1652378172.504722 sending message 112 to peer 0x7fed80008000 (5 bytes)
1652378172.504732 sending message 112 to peer 0x7fed80008000 (6 bytes)
1652378172.504741 sending message 112 to peer 0x7fed80008000 (6 bytes)
1652378172.504751 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.504761 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.504770 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504779 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504788 sending message 112 to peer 0x7fed80008000 (18 bytes)
1652378172.504798 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.504808 sending message 112 to peer 0x7fed80008000 (21 bytes)
1652378172.504822 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504832 sending message 112 to peer 0x7fed80008000 (7 bytes)
1652378172.504841 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504851 sending message 112 to peer 0x7fed80008000 (7 bytes)
1652378172.504862 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504872 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.504881 sending message 112 to peer 0x7fed80008000 (21 bytes)
1652378172.504891 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504900 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.504910 sending message 112 to peer 0x7fed80008000 (12 bytes)
1652378172.504919 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504928 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.504937 sending message 112 to peer 0x7fed80008000 (12 bytes)
1652378172.504947 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.504956 sending message 112 to peer 0x7fed80008000 (7 bytes)
1652378172.504966 sending message 112 to peer 0x7fed80008000 (7 bytes)
1652378172.504975 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.504986 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.504995 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.505005 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.505014 sending message 112 to peer 0x7fed80008000 (12 bytes)
1652378172.505024 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505033 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.505044 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505053 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505063 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505072 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505082 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505094 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505105 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505115 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505127 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505137 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505177 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505185 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505191 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505199 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505205 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505211 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505218 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505224 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505231 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505238 sending message 112 to peer 0x7fed80008000 (11 bytes)
1652378172.505246 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505252 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.505259 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.505266 sending message 112 to peer 0x7fed80008000 (12 bytes)
1652378172.505321 sending message 112 to peer 0x7fed80008000 (9 bytes)
1652378172.505343 sending message 112 to peer 0x7fed80008000 (6 bytes)
1652378172.505352 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505362 sending message 112 to peer 0x7fed80008000 (15 bytes)
1652378172.505369 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.505376 sending message 112 to peer 0x7fed80008000 (70 bytes)
1652378172.505386 sending message 112 to peer 0x7fed80008000 (69 bytes)
1652378172.505394 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505401 sending message 112 to peer 0x7fed80008000 (8 bytes)
1652378172.505408 sending message 112 to peer 0x7fed80008000 (15 bytes)
1652378172.505414 sending message 112 to peer 0x7fed80008000 (13 bytes)
1652378172.505420 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505426 sending message 112 to peer 0x7fed80008000 (10 bytes)
1652378172.505433 sending message 104 to peer 0x7fed80008000 (0 bytes)
1652378172.505443 sending message 110 to peer 0x7fed80008000 (0 bytes)
1652378172.505449 sending message 107 to peer 0x7fed80008000 (4 bytes)
1652378172.505455 sending message 105 to peer 0x7fed80008000 (15 bytes)
1652378172.505461 sending message 105 to peer 0x7fed80008000 (20 bytes)
1652378172.505469 sending message 105 to peer 0x7fed80008000 (22 bytes)
1652378172.505476 sending message 105 to peer 0x7fed80008000 (38 bytes)
1652378172.505482 sending message 105 to peer 0x7fed80008000 (24 bytes)
1652378172.505488 sending message 105 to peer 0x7fed80008000 (20 bytes)
1652378172.505494 sending message 105 to peer 0x7fed80008000 (40 bytes)
1652378172.505499 sending message 105 to peer 0x7fed80008000 (24 bytes)
1652378172.505505 sending message 105 to peer 0x7fed80008000 (22 bytes)
1652378172.505511 sending message 105 to peer 0x7fed80008000 (61 bytes)
1652378172.505519 sending message 105 to peer 0x7fed80008000 (14 bytes)
1652378172.505525 sending message 105 to peer 0x7fed80008000 (15 bytes)
1652378172.505531 sending message 105 to peer 0x7fed80008000 (17 bytes)
